species	bcr
Red-winged Blackbird	22
Mourning Dove	22
Barn Swallow	22
American Robin	22
Common Grackle	22
House Sparrow	22
European Starling	22
American Crow	22
Northern Cardinal	22
Brown-headed Cowbird	22
Killdeer	22
Indigo Bunting	22
Blue Jay	22
American Goldfinch	22
Eastern Meadowlark	22
Common Yellowthroat	22
Brown Thrasher	22
House Wren	22
Dickcissel	22
Eastern Kingbird	22
Field Sparrow	22
Horned Lark	22
Gray Catbird	22
Baltimore Oriole	22
Chimney Swift	22
Song Sparrow	22
Chipping Sparrow	22
Northern Flicker (all forms)	22
Red-bellied Woodpecker	22
Northern Bobwhite	22
Red-headed Woodpecker	22
Eastern Wood-Pewee	22
Rock Pigeon	22
Warbling Vireo	22
Great Crested Flycatcher	22
Tufted Titmouse	22
Eastern Bluebird	22
Downy Woodpecker	22
Yellow-billed Cuckoo	22
Grasshopper Sparrow	22
Red-tailed Hawk (all forms)	22
Ring-necked Pheasant	22
Eastern Phoebe	22
Northern Mockingbird	22
Great Blue Heron	22
White-breasted Nuthatch	22
Purple Martin	22
Northern Rough-winged Swallow	22
Rose-breasted Grosbeak	22
American Kestrel	22
Vesper Sparrow	22
Turkey Vulture	22
Eastern Towhee	22
Orchard Oriole	22
Black-capped Chickadee	22
House Finch	22
Red-eyed Vireo	22
Cedar Waxwing	22
Carolina Wren	22
Yellow Warbler	22
Western Meadowlark	22
Bobolink	22
Wood Thrush	22
Mallard	22
Willow Flycatcher	22
Canada Goose	22
Blue-gray Gnatcatcher	22
Savannah Sparrow	22
Cliff Swallow	22
Blue Grosbeak	22
Yellow-breasted Chat	22
Tree Swallow	22
Green Heron	22
Lark Sparrow	22
Ruby-throated Hummingbird	22
Upland Sandpiper	22
Wild Turkey	22
Carolina Chickadee	22
Loggerhead Shrike	22
Yellow-throated Vireo	22
Bell's Vireo	22
Wood Duck	22
Belted Kingfisher	22
Hairy Woodpecker	22
Great Horned Owl	22
Eurasian Collared-Dove	22
Northern Parula	22
Summer Tanager	22
Common Nighthawk	22
Scarlet Tanager	22
Black-billed Cuckoo	22
Acadian Flycatcher	22
White-eyed Vireo	22
Pileated Woodpecker	22
Bank Swallow	22
Scissor-tailed Flycatcher	22
Barred Owl	22
Western Kingbird	22
Kentucky Warbler	22
Cooper's Hawk	22
Sedge Wren	22
Eurasian Tree Sparrow	22
American Redstart	22
Great Egret	22
Red-shouldered Hawk	22
Henslow's Sparrow	22
