species	bcr
American Robin	10
Northern Flicker (all forms)	10
Common Raven	10
Chipping Sparrow	10
Yellow Warbler	10
Red-winged Blackbird	10
Song Sparrow	10
Brown-headed Cowbird	10
Warbling Vireo	10
Dark-eyed Junco (all forms)	10
Yellow-rumped Warbler (all forms)	10
Brewer's Blackbird	10
Wilson's Snipe	10
Western Meadowlark	10
Western Wood-Pewee	10
Pine Siskin	10
Western Tanager	10
Red-breasted Nuthatch	10
Killdeer	10
Tree Swallow	10
Swainson's Thrush	10
Ruby-crowned Kinglet	10
Vesper Sparrow	10
Black-billed Magpie	10
Mourning Dove	10
European Starling	10
Barn Swallow	10
American Crow	10
MacGillivray's Warbler	10
Red-tailed Hawk (all forms)	10
Savannah Sparrow	10
Black-capped Chickadee	10
Dusky Flycatcher	10
Mountain Bluebird	10
Cliff Swallow	10
Mountain Chickadee	10
Common Yellowthroat	10
Mallard	10
Willow Flycatcher	10
Spotted Sandpiper	10
American Kestrel	10
Hammond's Flycatcher	10
House Wren	10
Brewer's Sparrow	10
Orange-crowned Warbler	10
Cassin's Vireo	10
Violet-green Swallow	10
Hermit Thrush	10
Common Nighthawk	10
Lazuli Bunting	10
Lincoln's Sparrow	10
Red-naped Sapsucker	10
Golden-crowned Kinglet	10
Olive-sided Flycatcher	10
Horned Lark	10
Cedar Waxwing	10
Northern Rough-winged Swallow	10
Red Crossbill	10
Hairy Woodpecker	10
Rock Wren	10
Black-headed Grosbeak	10
Townsend's Warbler	10
White-crowned Sparrow	10
Cassin's Finch	10
Wilson's Warbler	10
Sage Thrasher	10
Spotted Towhee	10
Northern Waterthrush	10
Eastern Kingbird	10
Gray Catbird	10
American Goldfinch	10
Townsend's Solitaire	10
Varied Thrush	10
Canada Jay	10
Clark's Nutcracker	10
Canada Goose	10
Yellow-headed Blackbird	10
Red-eyed Vireo	10
Pileated Woodpecker	10
Sandhill Crane	10
American Redstart	10
Pacific Wren	10
Steller's Jay	10
Veery	10
House Sparrow	10
Least Flycatcher	10
Green-tailed Towhee	10
Bullock's Oriole	10
Western Kingbird	10
Great Blue Heron	10
Belted Kingfisher	10
Sora	10
Northern Harrier	10
Say's Phoebe	10
Ruffed Grouse	10
Evening Grosbeak	10
Lark Sparrow	10
Rufous Hummingbird	10
Bank Swallow	10
Common Merganser	10
Ring-necked Pheasant	10
Fox Sparrow	10
House Finch	10
Clay-colored Sparrow	10
Golden Eagle	10
Rock Pigeon	10
Nashville Warbler	10
Long-billed Curlew	10
Downy Woodpecker	10
Alder Flycatcher	10
Common Loon	10
American Coot	10
Calliope Hummingbird	10
Lark Bunting	10
Sagebrush Sparrow	10
Bald Eagle	10
Common Grackle	10
Swainson's Hawk	10
Turkey Vulture	10
Yellow-breasted Chat	10
Brown Creeper	10
Marsh Wren	10
Cinnamon Teal	10
White-breasted Nuthatch	10
Loggerhead Shrike	10
American Wigeon	10
Gadwall	10
California Quail	10
Bobolink	10
Tennessee Warbler	10
Great Horned Owl	10
American Dipper	10
Lesser Scaup	10
Wilson's Phalarope	10
Ring-necked Duck	10
Western Bluebird	10
Blue-winged Teal	10
Vaux's Swift	10
White-throated Sparrow	10
Green-winged Teal	10
Williamson's Sapsucker	10
Chestnut-backed Chickadee	10
Pied-billed Grebe	10
Ferruginous Hawk	10
Magnolia Warbler	10
Barrow's Goldeneye	10
Greater Sage-Grouse	10
Eurasian Collared-Dove	10
Red-necked Grebe	10
Purple Finch	10
Grasshopper Sparrow	10
American White Pelican	10
Wild Turkey	10
Prairie Falcon	10
