"","aou","latitude","yearXlatitude","bcr"
"1",3160,0.296431651868774,0,"Shortgrass Prairie"
"2",4470,0,-0.00729685469596146,"Shortgrass Prairie"
"3",5011,0.730459883955924,0.00560903351763854,"Shortgrass Prairie"
"4",4740,0.610139391527298,0.00597989841979972,"Shortgrass Prairie"
"5",2730,0.50824664157559,-0.00590149685773353,"Shortgrass Prairie"
"6",6130,0.886974766154806,-0.0166306719233275,"Shortgrass Prairie"
"7",4980,0.567573648452805,0.00707451236065881,"Shortgrass Prairie"
"8",6882,0,0.00396914911943956,"Shortgrass Prairie"
"9",3420,0,-0.00349942728610722,"Shortgrass Prairie"
"10",5520,-0.401250483505381,0.00432415403469846,"Shortgrass Prairie"
"11",7030,-1.53778052690183,0.00709416182166749,"Shortgrass Prairie"
"12",5780,-1.36388517170186,0,"Shortgrass Prairie"
"13",4200,-0.401108465807803,0,"Shortgrass Prairie"
"14",5110,1.65394497589018,0,"Shortgrass Prairie"
"15",5460,1.24153600453126,-0.00814211663404295,"Shortgrass Prairie"
"16",4930,1.01915354903632,0,"Shortgrass Prairie"
"17",4950,-0.467417441670436,0.0215063400129164,"Shortgrass Prairie"
"18",5080,-0.489983135091747,0,"Shortgrass Prairie"
"19",6050,2.36960619671537,0,"Shortgrass Prairie"
"20",3091,1.6348507843671,-0.00518264182300729,"Shortgrass Prairie"
"21",3780,0,0,"Shortgrass Prairie"
"22",6220,-0.29728876029567,0.00741383035848116,"Shortgrass Prairie"
"23",7610,2.14713700638526,-0.00966146030638861,"Shortgrass Prairie"
"24",6120,0,0.0177842017784998,"Shortgrass Prairie"
"25",5970,-0.557807215313437,0.00467222648989839,"Shortgrass Prairie"
"26",3370,0,0.00880013745891632,"Shortgrass Prairie"
"27",3600,0,0,"Shortgrass Prairie"
"28",3131,0.680346665729615,-0.00886969591886163,"Shortgrass Prairie"
"29",4570,0.509228570869399,0,"Shortgrass Prairie"
"30",1320,1.01387089822765,0,"Shortgrass Prairie"
"31",5190,-0.541836736781397,0,"Shortgrass Prairie"
"32",2930,-1.86257427842366,-0.0120078965301468,"Shortgrass Prairie"
"33",2890,-1.46623804425699,0,"Shortgrass Prairie"
"34",22860,-1.7838481059939,0.0372852941582303,"Shortgrass Prairie"
"35",4440,1.37898885926094,0.00981091077287791,"Shortgrass Prairie"
"36",5120,-1.23473654684898,0,"Shortgrass Prairie"
"37",3250,-1.57290550974948,0.0124894999514109,"Shortgrass Prairie"
"38",6040,0,0.015101136576384,"Shortgrass Prairie"
"39",4870,-3.02450607982121,0.0197247724243444,"Shortgrass Prairie"
"40",4430,-3.98989481951462,0.0268164785929648,"Shortgrass Prairie"
"41",4880,1.20613554580053,-0.0132998472129049,"Shortgrass Prairie"
"42",5060,0.666029243881921,0.00792746671612235,"Shortgrass Prairie"
"43",3310,0.622250959940704,0,"Shortgrass Prairie"
"44",4540,-2.97883009150015,0.0169709529540252,"Shortgrass Prairie"
"45",3480,0.606952990688868,0,"Shortgrass Prairie"
"46",2640,0,-0.015380548755225,"Shortgrass Prairie"
"47",7050,1.59519428447479,0,"Shortgrass Prairie"
"48",5010,-3.0074175977047,0.0202566933531467,"Shortgrass Prairie"
"49",4123,0.6728814021792,0,"Shortgrass Prairie"
"50",3750,0.517696140243811,0,"Shortgrass Prairie"
"51",4750,1.71281950694908,0,"Shortgrass Prairie"
"52",4060,0.899236813145268,0,"Shortgrass Prairie"
"53",7210,1.75801609836168,0,"Shortgrass Prairie"
"54",6520,2.03396858978134,0,"Shortgrass Prairie"
"55",7070,-2.65946254784321,0.0159305640804073,"Shortgrass Prairie"
"56",5100,1.28633684767507,0.021882705619654,"Shortgrass Prairie"
"57",7150,0.526250938449012,0,"Shortgrass Prairie"
"58",4620,1.2414231449575,-0.0105182601577382,"Shortgrass Prairie"
"59",1940,1.00988141467368,0,"Shortgrass Prairie"
"60",4770,0.652060545808684,0,"Shortgrass Prairie"
"61",4480,-0.762075198371754,0,"Shortgrass Prairie"
"62",2250,0,-0.0136514245417548,"Shortgrass Prairie"
"63",4860,0,0,"Shortgrass Prairie"
"64",2810,0,0,"Shortgrass Prairie"
"65",5290,1.59693886417042,0.0198455069617664,"Shortgrass Prairie"
"66",6170,0.868313910072939,0,"Shortgrass Prairie"
"67",3960,-2.7510871981975,0.0190539986268343,"Shortgrass Prairie"
"68",6810,1.28023588974638,0,"Shortgrass Prairie"
"69",2610,1.05473736875475,0.0307363201983209,"Shortgrass Prairie"
"70",1400,0,0,"Shortgrass Prairie"
"71",5400,0,0,"Shortgrass Prairie"
"72",7190,-1.40696184189639,0,"Shortgrass Prairie"
"73",5620,2.34976325493585,-0.0306911463772023,"Shortgrass Prairie"
"74",3850,-1.59623161025382,0,"Shortgrass Prairie"
"75",4970,1.08462323757265,0,"Shortgrass Prairie"
"76",7130,-8.11063290147105,0.103027173465802,"Shortgrass Prairie"
"77",3870,-0.495024646346406,0,"Shortgrass Prairie"
"78",5960,0,0,"Shortgrass Prairie"
"79",4230,0,0,"Shortgrass Prairie"
"80",5910,-1.17321582618986,0,"Shortgrass Prairie"
"81",5300,-0.876916699241271,0,"Shortgrass Prairie"
"82",3550,0,0,"Shortgrass Prairie"
"83",5880,0,0.0177510375674566,"Shortgrass Prairie"
"84",3290,0,-0.0211684824536841,"Shortgrass Prairie"
"85",1430,0,0,"Shortgrass Prairie"
"86",5070,0,0.0266634825064375,"Shortgrass Prairie"
"87",3100,0,0.0175115760512537,"Shortgrass Prairie"
"88",5730,-4.25676805406521,0.0416981827131179,"Shortgrass Prairie"
"89",6270,1.17476645614116,0,"Shortgrass Prairie"
"90",5930,-2.34392215695802,0.0270885096896879,"Shortgrass Prairie"
"91",5940,-12.3877692573734,0.0733966727283775,"Shortgrass Prairie"
"92",5390,4.70708856516896,0,"Shortgrass Prairie"
"93",1720,1.95770225158366,0,"Shortgrass Prairie"
