"","species_bcrForm","species_clean"
"1","American Robin","American Robin"
"2","Common Yellowthroat","Common Yellowthroat"
"3","American Crow","American Crow"
"4","Red-eyed Vireo","Red-eyed Vireo"
"5","Song Sparrow","Song Sparrow"
"6","Black-capped Chickadee","Black-capped Chickadee"
"7","Ovenbird","Ovenbird"
"8","American Goldfinch","American Goldfinch"
"9","Blue Jay","Blue Jay"
"10","American Redstart","American Redstart"
"11","White-throated Sparrow","White-throated Sparrow"
"12","Common Grackle","Common Grackle"
"13","Tree Swallow","Tree Swallow"
"14","Chipping Sparrow","Chipping Sparrow"
"15","European Starling","European Starling"
"16","Red-winged Blackbird","Red-winged Blackbird"
"17","Chestnut-sided Warbler","Chestnut-sided Warbler"
"18","Veery","Veery"
"19","Hermit Thrush","Hermit Thrush"
"20","Cedar Waxwing","Cedar Waxwing"
"21","Least Flycatcher","Least Flycatcher"
"22","Yellow Warbler","Yellow Warbler"
"23","Alder Flycatcher","Alder Flycatcher"
"24","Yellow-rumped Warbler (all forms)","Yellow-rumped Warbler"
"25","Barn Swallow","Barn Swallow"
"26","Northern Flicker (all forms)","Northern Flicker"
"27","Black-and-white Warbler","Black-and-white Warbler"
"28","Black-throated Green Warbler","Black-throated Green Warbler"
"29","Purple Finch","Purple Finch"
"30","Gray Catbird","Gray Catbird"
"31","Blue-headed Vireo","Blue-headed Vireo"
"32","Mourning Dove","Mourning Dove"
"33","Magnolia Warbler","Magnolia Warbler"
"34","Common Raven","Common Raven"
"35","Yellow-bellied Sapsucker","Yellow-bellied Sapsucker"
"36","Winter Wren","Winter Wren"
"37","Bobolink","Bobolink"
"38","Dark-eyed Junco (all forms)","Dark-eyed Junco"
"39","Rose-breasted Grosbeak","Rose-breasted Grosbeak"
"40","Nashville Warbler","Nashville Warbler"
"41","Red-breasted Nuthatch","Red-breasted Nuthatch"
"42","Eastern Wood-Pewee","Eastern Wood-Pewee"
"43","Eastern Phoebe","Eastern Phoebe"
"44","Northern Parula","Northern Parula"
"45","Brown-headed Cowbird","Brown-headed Cowbird"
"46","Savannah Sparrow","Savannah Sparrow"
"47","Downy Woodpecker","Downy Woodpecker"
"48","Hairy Woodpecker","Hairy Woodpecker"
"49","Wood Thrush","Wood Thrush"
"50","Black-throated Blue Warbler","Black-throated Blue Warbler"
"51","Blackburnian Warbler","Blackburnian Warbler"
"52","Swainson's Thrush","Swainson's Thrush"
"53","Eastern Kingbird","Eastern Kingbird"
"54","Swamp Sparrow","Swamp Sparrow"
"55","House Sparrow","House Sparrow"
"56","Scarlet Tanager","Scarlet Tanager"
"57","Chimney Swift","Chimney Swift"
"58","Rock Pigeon","Rock Pigeon"
"59","Northern Waterthrush","Northern Waterthrush"
"60","Ruby-crowned Kinglet","Ruby-crowned Kinglet"
"61","Canada Warbler","Canada Warbler"
"62","Pileated Woodpecker","Pileated Woodpecker"
"63","Great Crested Flycatcher","Great Crested Flycatcher"
"64","White-breasted Nuthatch","White-breasted Nuthatch"
"65","Baltimore Oriole","Baltimore Oriole"
"66","Indigo Bunting","Indigo Bunting"
"67","Ruby-throated Hummingbird","Ruby-throated Hummingbird"
"68","Golden-crowned Kinglet","Golden-crowned Kinglet"
"69","Belted Kingfisher","Belted Kingfisher"
"70","Northern House Wren","Northern House Wren"
"71","Cliff Swallow","Cliff Swallow"
"72","Evening Grosbeak","Evening Grosbeak"
"73","Bank Swallow","Bank Swallow"
"74","Mourning Warbler","Mourning Warbler"
"75","Warbling Vireo","Warbling Vireo"
"76","Common Loon","Common Loon"
"77","Great Blue Heron","Great Blue Heron"
"78","Olive-sided Flycatcher","Olive-sided Flycatcher"
"79","Yellow-bellied Flycatcher","Yellow-bellied Flycatcher"
"80","Tennessee Warbler","Tennessee Warbler"
"81","Bay-breasted Warbler","Bay-breasted Warbler"
"82","Eastern Bluebird","Eastern Bluebird"
"83","Brown Creeper","Brown Creeper"
"84","American Kestrel","American Kestrel"
"85","Northern Cardinal","Northern Cardinal"
"86","Lincoln's Sparrow","Lincoln's Sparrow"
"87","American Bittern","American Bittern"
"88","Pine Warbler","Pine Warbler"
"89","Brown Thrasher","Brown Thrasher"
"90","Eastern Towhee","Eastern Towhee"
"91","Pine Siskin","Pine Siskin"
"92","Eastern Meadowlark","Eastern Meadowlark"
"93","Field Sparrow","Field Sparrow"
"94","Broad-winged Hawk","Broad-winged Hawk"
"95","Boreal Chickadee","Boreal Chickadee"
"96","Cape May Warbler","Cape May Warbler"
"97","House Finch","House Finch"
"98","Black-billed Cuckoo","Black-billed Cuckoo"
"99","Tufted Titmouse","Tufted Titmouse"
"100","Canada Jay","Canada Jay"
"101","Philadelphia Vireo","Philadelphia Vireo"
"102","Wilson's Warbler","Wilson's Warbler"
"103","Ring-necked Pheasant","Ring-necked Pheasant"
"104","Palm Warbler","Palm Warbler"
"105","Vesper Sparrow","Vesper Sparrow"
"106","Blackpoll Warbler","Blackpoll Warbler"
"107","Barred Owl","Barred Owl"
"108","Northern Mockingbird","Northern Mockingbird"
"109","Red-tailed Hawk (all forms)","Red-tailed Hawk"
"110","Wood Duck","Wood Duck"
"111","White-winged Crossbill","White-winged Crossbill"
"112","Willow Flycatcher","Willow Flycatcher"
"113","Northern Harrier","Northern Harrier"
"114","Turkey Vulture","Turkey Vulture"
"115","Rusty Blackbird","Rusty Blackbird"
"116","Yellow-throated Vireo","Yellow-throated Vireo"
"117","Northern Rough-winged Swallow","Northern Rough-winged Swallow"
"118","Fox Sparrow","Fox Sparrow"
"119","Common Nighthawk","Common Nighthawk"
"120","Bald Eagle","Bald Eagle"
"121","American Robin","American Robin"
"122","Dark-eyed Junco (all forms)","Dark-eyed Junco"
"123","Steller's Jay","Steller's Jay"
"124","Song Sparrow","Song Sparrow"
"125","Swainson's Thrush","Swainson's Thrush"
"126","Orange-crowned Warbler","Orange-crowned Warbler"
"127","Common Raven","Common Raven"
"128","Western Tanager","Western Tanager"
"129","Northern Flicker (all forms)","Northern Flicker"
"130","Spotted Towhee","Spotted Towhee"
"131","Pacific Wren","Pacific Wren"
"132","Chestnut-backed Chickadee","Chestnut-backed Chickadee"
"133","Warbling Vireo","Warbling Vireo"
"134","Black-headed Grosbeak","Black-headed Grosbeak"
"135","Wilson's Warbler","Wilson's Warbler"
"136","Violet-green Swallow","Violet-green Swallow"
"137","Golden-crowned Kinglet","Golden-crowned Kinglet"
"138","European Starling","European Starling"
"139","Barn Swallow","Barn Swallow"
"140","Brown-headed Cowbird","Brown-headed Cowbird"
"141","White-crowned Sparrow","White-crowned Sparrow"
"142","Olive-sided Flycatcher","Olive-sided Flycatcher"
"143","Red-breasted Nuthatch","Red-breasted Nuthatch"
"144","Tree Swallow","Tree Swallow"
"145","Western Wood-Pewee","Western Wood-Pewee"
"146","Rufous Hummingbird","Rufous Hummingbird"
"147","Purple Finch","Purple Finch"
"148","American Crow","American Crow"
"149","Brewer's Blackbird","Brewer's Blackbird"
"150","Red-winged Blackbird","Red-winged Blackbird"
"151","Yellow Warbler","Yellow Warbler"
"152","Black-throated Gray Warbler","Black-throated Gray Warbler"
"153","MacGillivray's Warbler","MacGillivray's Warbler"
"154","American Goldfinch","American Goldfinch"
"155","Yellow-rumped Warbler (all forms)","Yellow-rumped Warbler"
"156","Band-tailed Pigeon","Band-tailed Pigeon"
"157","Willow Flycatcher","Willow Flycatcher"
