cn,TimeAdj.meanlog,TimeAdj.sdlog,Dist2,Pair2,Aou,Dist.Lower,Dist.Upper
Abert's Towhee,0.926068294,0.03279521,125,2,5920,105,138
Acadian Flycatcher,0.219216886,0.007581933,125,2,4650,105,138
Acorn Woodpecker,0.261513967,0.032915038,200,1.75,4070,140,220
Alder Flycatcher,0.279321986,0.014289896,125,2,4661,105,138
Allen's Hummingbird,0.291735312,0.022923659,50,1.25,4340,26,55
Altamira Oriole,0.134838091,0.034837138,125,1.75,5031,105,138
American Crow,0.509424135,0.035825627,400,1.75,4880,320,440
American Dipper,0.120627704,0.002232302,125,1.75,7010,105,138
American Goldfinch,0.311311237,0.018869851,125,1.25,5290,105,138
American Kestrel,0.290453514,0.006693885,200,1.25,3600,140,220
American Pipit,0.331264898,0.018339887,200,2,6970,140,220
American Redstart,0.081164913,0.00961596,100,2,6870,84,110
American Robin,0.816820459,0.040591642,200,2,7610,140,220
American Three-toed Woodpecker,0.231914705,0.005639455,125,1.5,4010,105,138
American Tree Sparrow,0.48677923,0.263794299,200,2,5590,140,220
Anna's Hummingbird,0.188295714,0.007918482,50,2,4310,26,55
Arctic Warbler,0.336241881,0.212251379,125,2,7470,105,138
Arizona Woodpecker,0.27959732,0.034920096,125,1.75,3975,105,138
Ash-throated Flycatcher,0.285893654,0.012720806,200,1.5,4540,140,220
Audubon's Oriole,0.134838091,0.034837138,125,2,5030,105,138
Bachman's Sparrow,0.353020961,0.010014486,200,2,5750,140,220
Baird's Sparrow,0.347885573,0.018872062,125,2,5450,105,138
Bald Eagle,0.531446599,0.005017049,300,1.25,3520,220,330
Baltimore Oriole,0.141448158,0.008339067,125,1.75,5070,105,138
Band-tailed Pigeon,0.445606274,0.021296333,200,1.75,3120,140,220
Bank Swallow,0.642518351,0.054160354,200,1,6160,140,220
Barn Owl,1.639980926,0.005870793,200,2,3650,140,220
Barn Swallow,0.288208703,0.028063207,200,1.5,6130,140,220
Barred Owl,2.246063781,0.003138642,200,2,3680,140,220
Bay-breasted Warbler,0.153659869,0.007650575,80,2,6600,56,88
Bell's Sparrow,0.356608677,0.06387064,200,2,5739,140,220
Bell's Vireo,0.180378292,0.007557468,125,2,6330,105,138
Belted Kingfisher,0.290382383,0.001070783,200,2,3900,140,220
Bendire's Thrasher,0.151208587,0.03780064,200,2,7080,140,220
Bewick's Wren,0.263952086,0.012017096,200,1.75,7190,140,220
Bicknell's Thrush,0.440536327,0.077167878,200,2,7571,140,220
Black Phoebe,0.490597113,0.0123837,125,1.5,4580,105,138
Black Rosy-Finch,0.244353977,0.088929258,125,1.5,5250,105,138
Black Swift,0.419278592,0.342734085,200,1.25,4220,140,220
Black Vulture,1.046186196,0.034351103,400,1.5,3260,320,440
Black-and-white Warbler,0.152823762,0.008002952,100,2,6360,84,110
Black-backed Woodpecker,0.427240724,0.004502838,125,1.5,4000,105,138
Black-billed Cuckoo,0.283172906,0.005624163,200,2,3880,140,220
Black-billed Magpie,0.235896152,0.020103119,300,1.75,4750,220,330
Blackburnian Warbler,0.191437754,0.009454552,80,2,6620,56,88
Black-capped Chickadee,0.378610362,0.015744777,125,2,7350,105,138
Black-capped Vireo,0.252790135,0.052592429,125,2,6300,105,138
Black-chinned Hummingbird,0.261764193,0.005802987,50,1.5,4290,26,55
Black-chinned Sparrow,0.48677923,0.263794299,200,1.75,5650,140,220
Black-crested Titmouse,0.167287607,0.015324212,200,1.25,7320,140,220
Black-headed Grosbeak,0.35677819,0.014358481,125,2,5960,105,138
Blackpoll Warbler,0.036936066,0.007389098,80,2,6610,56,88
Black-tailed Gnatcatcher,0.507418109,0.013481356,80,1.75,7520,56,88
Black-throated Blue Warbler,0.123733234,0.007484617,125,2,6540,105,138
Black-throated Gray Warbler,0.234857209,0.011166783,125,2,6650,105,138
Black-throated Green Warbler,0.123030348,0.008231303,125,2,6670,105,138
Black-throated Sparrow,0.536376292,0.030266055,125,2,5730,105,138
Black-whiskered Vireo,0.252790135,0.052592429,125,2,6230,105,138
Blue Grosbeak,0.425252098,0.010625576,125,2,5970,105,138
Blue Jay,0.196211491,0.011653135,200,1.25,4770,140,220
Blue-gray Gnatcatcher,0.507549726,0.013481573,50,1.75,7510,26,55
Blue-headed Vireo,0.191732584,0.009143537,125,2,6290,105,138
Bluethroat,0.336241881,0.212251379,200,1.5,7640,140,220
Blue-throated Hummingbird,0.282947489,0.030666539,50,1.5,4270,26,55
Blue-winged Warbler,0.245414125,0.00681225,125,2,6410,105,138
Boat-tailed Grackle,0.627797265,0.044839671,200,1.25,5130,140,220
Bobolink,0.240408992,0.018723365,200,1.75,4940,140,220
Bohemian Waxwing,0.251637205,0.021000969,125,1.75,6180,105,138
Boreal Chickadee,0.123606521,0.006154629,80,1.25,7400,56,88
Boreal Owl,0.805016534,0.006968846,200,2,3710,140,220
Botteri's Sparrow,0.332798461,0.023386542,200,1.75,5760,140,220
Brewer's Blackbird,0.285067694,0.042310849,200,1.25,5100,140,220
Brewer's Sparrow,0.554371096,0.03152307,200,2,5620,140,220
Bridled Titmouse,0.167287607,0.015324212,200,1.75,7340,140,220
Broad-billed Hummingbird,0.282947489,0.030666539,50,1.5,4410,26,55
Broad-tailed Hummingbird,0.270066821,0.013827063,80,1.75,4320,56,88
Broad-winged Hawk,0.923824468,0.001843574,125,2,3430,105,138
Bronzed Cowbird,0.196381735,0.015392618,125,1.25,4960,105,138
Brown Creeper,0.327781306,0.007039325,80,2,7260,56,88
Brown Thrasher,0.141308812,0.007605114,200,1.5,7050,140,220
Brown-crested Flycatcher,0.236362278,0.026662982,200,2,4530,140,220
Brown-headed Cowbird,0.196359385,0.015316476,125,1.75,4950,105,138
Brown-headed Nuthatch,0.193256417,0.011315643,125,1.5,7290,105,138
Buff-bellied Hummingbird,0.282947489,0.030666539,50,2,4390,26,55
Bullock's Oriole,0.171626668,0.013381537,125,1.75,5080,105,138
Burrowing Owl,0.248559878,0.013839293,200,1.75,3780,140,220
Bushtit,0.180014259,0.016575529,125,1.5,7430,105,138
Cactus Wren,0.38994346,0.015947778,200,1.5,7130,140,220
California Condor,1.083808476,0.036296279,400,1.5,3240,320,440
California Gnatcatcher,0.507418109,0.013481356,80,1.75,7530,56,88
California Quail,0.386160727,0.019277203,200,1.5,2940,140,220
California Thrasher,0.151208587,0.03780064,200,1.75,7100,140,220
California Towhee,0.953116186,0.024293546,125,2,5911,105,138
Calliope Hummingbird,0.222786696,0.005361244,50,2,4360,26,55
Canada Warbler,0.144498738,0.005886014,100,2,6860,84,110
Canyon Towhee,0.901022212,0.013820457,125,2,5910,105,138
Canyon Wren,0.627107745,0.00823747,200,2,7170,140,220
Cape May Warbler,0.325792288,0.005702945,80,2,6500,56,88
Carolina Chickadee,0.23301274,0.013259707,125,1.25,7360,105,138
Carolina Wren,0.2685187,0.014746994,200,1.5,7180,140,220
Cassin's Finch,0.290200251,0.012993251,125,2,5180,105,138
Cassin's Kingbird,0.429312979,0.017320122,200,2,4480,140,220
Cassin's Sparrow,0.324927907,0.022658797,200,1.75,5780,140,220
Cassin's Vireo,0.29475794,0.011141985,125,2,6291,105,138
Cave Swallow,0.601584903,0.097402064,200,1,6121,140,220
Cedar Waxwing,0.251384113,0.021058939,100,1.75,6190,84,110
Cerulean Warbler,0.214654972,0.006059708,100,2,6580,84,110
Chestnut-backed Chickadee,0.172673671,0.018267892,80,1.25,7410,56,88
Chestnut-collared Longspur,0.47764042,0.035721667,200,1.5,5380,140,220
Chestnut-sided Warbler,0.207905027,0.009565074,125,2,6590,105,138
Chihuahuan Raven,0.246353299,0.018415724,400,1.75,4870,320,440
Chimney Swift,0.281915163,0.018153048,200,1.75,4230,140,220
Chipping Sparrow,0.695273332,0.023465322,125,2,5600,105,138
Chuck-will's-widow,3.018785009,0.008504079,300,2,4160,220,330
Chukar,0.516304491,0.161395519,300,2,2882,220,330
Clark's Nutcracker,0.324373017,0.0131279,300,1.25,4910,220,330
Clay-colored Sparrow,0.399192981,0.026524177,125,2,5610,105,138
Cliff Swallow,0.602018152,0.097550427,200,1,6120,140,220
Common Black Hawk,0.393264523,0.22105359,300,1.75,3450,220,330
Common Grackle,0.408425194,0.055505963,200,1.25,5110,140,220
Common Ground-Dove,0.505966382,0.012083732,125,1.5,3200,105,138
Common Nighthawk,2.15054635,0.015134556,300,2,4200,220,330
Common Poorwill,3.361205639,0.001459633,300,2,4180,220,330
